Date,USD,ETH,ETH/USD
2025-06-14T10:44:58.930447+00:00,259.59,0.102564,2531.01
2025-06-14T13:32:47.072777+00:00,259.59,0.102224,2539.43
2025-06-14T15:36:15.053478+00:00,302.66,0.119917,2523.91
2025-06-14T18:28:42.977897+00:00,303.68,0.120948,2510.83
2025-06-14T18:36:00.012178+00:00,303.69,0.121267,2504.31
2025-06-14T18:40:17.976393+00:00,303.70,0.121489,2499.82
2025-06-14T18:41:41.751303+00:00,303.71,0.121614,2497.33
2025-06-14T18:57:11.501753+00:00,303.73,0.121631,2497.15
